Time,EAR,MAR,Blinks,Yawns,Drowsy
1774792888.14,0.163,0.028,0,0,0
1774792888.15,0.225,0.0,1,0,0
1774792888.17,0.174,0.0,1,0,0
1774792888.18,0.133,0.022,1,0,0
1774792888.19,0.182,0.021,2,0,0
1774792888.21,0.215,0.021,2,0,0
1774792888.23,0.242,0.02,2,0,0
1774792888.27,0.287,0.02,2,0,0
1774792888.29,0.267,0.057,2,0,0
1774792888.33,0.278,0.018,2,0,0
1774792888.36,0.29,0.0,2,0,0
1774792888.39,0.281,0.018,2,0,0
1774792888.42,0.277,0.026,2,0,0
1774792888.47,0.274,0.017,2,0,0
1774792888.5,0.282,0.0,2,0,0
1774792888.53,0.295,0.0,2,0,0
1774792888.56,0.276,0.018,2,0,0
1774792888.6,0.271,0.018,2,0,0
1774792888.63,0.235,0.068,2,0,0
1774792888.66,0.219,0.051,2,0,0
1774792888.69,0.213,0.034,2,0,0
1774792888.73,0.186,0.037,2,0,0
1774792888.76,0.184,0.034,2,0,0
1774792888.79,0.223,0.023,2,0,0
1774792888.84,0.231,0.0,2,0,0
1774792888.87,0.237,0.016,2,0,0
1774792888.9,0.254,0.0,2,0,0
1774792888.93,0.259,0.0,2,0,0
1774792888.97,0.256,0.0,2,0,0
1774792889.0,0.231,0.0,2,0,0
1774792889.03,0.218,0.074,2,0,0
1774792889.06,0.228,0.018,2,0,0
1774792889.09,0.209,0.018,2,0,0
1774792889.13,0.19,0.0,2,0,0
1774792889.16,0.203,0.0,2,0,0
1774792889.19,0.221,0.018,2,0,0
1774792889.24,0.243,0.0,2,0,0
1774792889.27,0.254,0.018,2,0,0
1774792889.3,0.247,0.0,2,0,0
1774792889.34,0.234,0.017,2,0,0
1774792889.37,0.25,0.017,2,0,0
1774792889.4,0.223,0.0,2,0,0
1774792889.43,0.172,0.0,2,0,0
1774792889.46,0.152,0.016,2,0,0
1774792889.51,0.156,0.027,2,0,0
1774792889.52,0.136,0.0,2,0,0
1774792889.56,0.164,0.209,2,0,0
1774792889.6,0.164,0.293,2,0,0
1774792889.64,0.181,0.143,3,0,0
1774792889.67,0.197,0.225,3,0,0
1774792889.7,0.255,0.014,3,0,0
1774792889.74,0.254,0.0,3,0,0
1774792889.77,0.307,0.014,3,0,0
1774792889.8,0.299,0.0,3,0,0
1774792889.83,0.284,0.0,3,0,0
1774792889.86,0.281,0.014,3,0,0
1774792889.9,0.29,0.0,3,0,0
1774792889.92,0.33,0.0,3,0,0
1774792889.97,0.293,0.02,3,0,0
1774792890.0,0.254,0.019,3,0,0
1774792890.04,0.241,0.014,3,0,0
1774792890.07,0.236,0.0,3,0,0
1774792890.11,0.25,0.0,3,0,0
1774792890.13,0.277,0.0,3,0,0
1774792890.17,0.262,0.0,3,0,0
1774792890.2,0.257,0.081,3,0,0
1774792890.23,0.23,0.258,3,0,0
1774792890.27,0.166,0.012,3,0,0
1774792890.29,0.143,0.0,3,0,0
1774792890.34,0.14,0.0,3,0,0
1774792890.38,0.173,0.0,3,0,0
1774792890.4,0.224,0.0,4,0,0
1774792890.43,0.247,0.012,4,0,0
1774792890.47,0.272,0.0,4,0,0
1774792890.5,0.252,0.012,4,0,0
1774792890.54,0.186,0.0,4,0,0
1774792890.57,0.212,0.012,4,0,0
1774792890.6,0.222,0.011,4,0,0
1774792890.63,0.227,0.034,4,0,0
1774792890.66,0.218,0.071,4,0,0
1774792890.69,0.238,0.017,4,0,0
1774792890.74,0.269,0.011,4,0,0
1774792890.77,0.242,0.0,4,0,0
1774792890.8,0.239,0.011,4,0,0
1774792890.84,0.255,0.0,4,0,0
1774792890.87,0.258,0.011,4,0,0
1774792890.91,0.246,0.011,4,0,0
1774792890.93,0.207,0.0,4,0,0
1774792890.97,0.195,0.0,4,0,0
1774792891.0,0.24,0.012,4,0,0
1774792891.03,0.252,0.017,4,0,0
1774792891.06,0.24,0.0,4,0,0
1774792891.11,0.264,0.0,4,0,0
1774792891.15,0.256,0.0,4,0,0
1774792891.18,0.247,0.013,4,0,0
1774792891.21,0.229,0.014,4,0,0
1774792891.24,0.244,0.014,4,0,0
1774792891.27,0.23,0.0,4,0,0
1774792891.3,0.243,0.0,4,0,0
1774792891.33,0.249,0.0,4,0,0
1774792891.37,0.241,0.0,4,0,0
1774792891.4,0.241,0.022,4,0,0
1774792891.43,0.261,0.0,4,0,0
1774792891.48,0.258,0.017,4,0,0
1774792891.5,0.269,0.0,4,0,0
1774792891.55,0.226,0.023,4,0,0
1774792891.58,0.198,0.018,4,0,0
1774792891.61,0.189,0.018,4,0,0
1774792891.64,0.256,0.018,4,0,0
1774792891.67,0.229,0.017,4,0,0
1774792891.71,0.227,0.018,4,0,0
1774792891.74,0.273,0.098,4,0,0
1774792891.77,0.291,0.029,4,0,0
1774792891.8,0.253,0.0,4,0,0
1774792891.85,0.241,0.029,4,0,0
1774792891.88,0.232,0.02,4,0,0
1774792891.89,0.224,0.0,4,0,0
1774792891.95,0.196,0.028,4,0,0
1774792891.98,0.144,0.078,4,0,0
1774792892.01,0.179,0.14,4,0,0
1774792892.04,0.195,0.208,5,0,0
1774792892.07,0.17,0.095,5,0,0
1774792892.11,0.2,0.204,6,0,0
1774792892.14,0.179,0.0,6,0,0
1774792892.17,0.192,0.042,7,0,0
1774792892.2,0.232,0.021,7,0,0
1774792892.25,0.284,0.0,7,0,0
